Rank,CAS,Ingredient,Global_Importance,Frequency,Recipes_Count,Avg_Norm_Present,PC1_Loading,PC2_Loading,PC3_Loading,PC4_Loading
1,1754-62-7,Methyl-trans-cinnamat Halal,36.0639,0.4598,40,0.058822,0.0799,0.1904,0.168,-0.0843
2,706-14-9,gamma-Decalacton Kosher Halal,32.401,0.954,83,0.03553,0.1628,0.2655,-0.0132,-0.1161
3,659-70-1,Isoamylisovalerat Kosher Halal,32.1475,0.3218,28,0.00799,0.1244,0.1263,-0.0756,0.2111
4,105-54-4,Ethylbutyrat Kosher Halal,29.6257,1.0,87,0.099655,0.2634,-0.1256,0.001,-0.0597
5,111-27-3,Hexanol Kosher Halal,27.1897,0.3563,31,0.014861,0.0445,0.1389,-0.0878,0.1861
6,928-96-1,cis-3-Hexen-1-ol Halal Kosher,26.8177,0.8851,77,0.086,0.0654,0.3096,0.0329,0.0117
7,116-53-0,2-Methylbuttersäure Halal Kosher,25.8703,0.8161,71,0.063775,0.2333,0.0644,-0.116,0.0085
8,142-92-7,Hexylacetat Kosher Halal,24.6693,0.4023,35,0.00838,0.0525,0.0867,0.114,0.1653
9,123-66-0,Ethylhexanoat Halal,24.4166,0.9425,82,0.037652,0.1853,-0.0951,0.0264,-0.0994
10,124-07-2,Octansäure,24.0573,0.1264,11,0.010036,-0.0524,0.1855,0.1986,-0.0835
11,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,23.3353,0.908,79,0.049158,0.2161,-0.0428,-0.1121,-0.0307
12,142-62-1,Hexansäure kräftig,22.8921,0.7471,65,0.019203,0.2241,-0.0146,-0.1066,0.0039
13,123-92-2,Isoamylacetat Halal,22.1553,0.1494,13,0.009434,0.2245,-0.0406,0.0176,-0.1505
14,141-78-6,Ethylacetat Kosher Halal,21.2214,0.6552,57,0.035971,0.1214,-0.0524,0.191,-0.0328
15,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",20.2135,0.4138,36,0.033006,0.0747,-0.1091,-0.1354,-0.0147
16,3681-71-8,cis-3-Hexenylacetat Halal Kosher,20.0592,0.7011,61,0.011042,0.1363,0.0338,0.1372,-0.0516
17,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",19.4409,0.4368,38,0.042335,0.0096,-0.0838,0.1644,0.2204
18,16409-45-3,"Menthylacetat, D,L-",18.1312,0.046,4,0.000215,-0.1996,0.0503,-0.1068,-0.1863
19,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",17.9067,0.1264,11,0.001462,0.0995,0.1353,-0.1975,0.0684
20,3658-77-3,Furaneol Halal,17.6233,0.7931,69,0.091137,0.0007,0.1024,0.0778,0.1003
