Rank,CAS,Ingredient,Global_Importance,Frequency,Avg_Norm_Present,Avg_Norm_All,Recipes_Count,PC1_Loading,PC2_Loading,PC3_Loading,PC4_Loading
1,142-92-7,Hexylacetat Kosher Halal,29.6281,0.5116,0.008638,0.004419,66,0.0048,-0.0228,-0.0971,0.2674
2,659-70-1,Isoamylisovalerat Kosher Halal,28.991,0.3798,0.011154,0.004237,49,-0.0088,-0.0165,-0.089,0.2448
3,108-64-5,Ethylisovalerat Kosher Halal,26.4767,0.5814,0.015013,0.008728,75,0.0431,0.0881,-0.0513,0.1321
4,106-27-4,Isoamylbutyrat Halal,21.2149,0.1938,0.009425,0.001827,25,-0.0015,-0.0174,-0.0871,0.238
5,66-25-1,Hexanal Kosher Halal,20.1774,0.186,0.001571,0.000292,24,-0.0184,-0.0222,0.2745,0.0888
6,3681-71-8,cis-3-Hexenylacetat Halal Kosher,19.9602,0.7442,0.011774,0.008762,96,0.0432,-0.001,-0.0593,0.1178
7,2445-77-4,2-Methylbutylisovalerat,19.9592,0.124,0.003091,0.000383,16,0.0015,-0.016,-0.0962,0.2602
8,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,19.28,0.1705,0.011864,0.002023,22,-0.0019,-0.0186,-0.0894,0.2469
9,6728-26-3,trans-2-Hexenal Kosher Halal,18.1429,0.1783,0.002183,0.000389,23,0.0037,-0.0188,-0.0841,0.2387
10,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",18.0587,0.2636,0.00267,0.000704,34,0.0901,-0.0783,0.0652,0.01
11,60-12-8,Phenethylalkohol Halal,17.3115,0.0465,0.020753,0.000965,6,0.2228,-0.1644,-0.037,0.0922
12,141-78-6,Ethylacetat Kosher Halal,16.6806,0.6124,0.033561,0.020553,79,0.0906,-0.0783,0.0383,0.0094
13,123-86-4,Butylacetat Kosher Halal,16.2507,0.1008,0.002833,0.000286,13,-0.0099,-0.015,0.2966,0.101
14,14901-07-6,beta-Ionon Halal Kosher,15.5498,0.0853,0.001304,0.000111,11,0.106,0.1682,0.0271,-0.0078
15,118-71-8,Maltol Kosher Halal,15.5115,0.5116,0.046309,0.023693,66,0.0218,0.0431,-0.0386,0.0761
16,27625-35-0,"Isoamyl-2-methylbutyrat, natürlich",14.897,0.0388,0.005413,0.00021,5,0.0054,-0.0177,-0.0866,0.2383
17,928-96-1,cis-3-Hexen-1-ol Halal Kosher,14.8794,0.8992,0.088893,0.079935,116,0.0136,-0.0147,-0.0566,0.0672
18,706-14-9,gamma-Decalacton Kosher Halal,14.8529,0.9302,0.038739,0.036037,120,0.0053,-0.0376,-0.0388,0.0937
19,97-62-1,Ethylisobutyrat Halal,14.6907,0.1163,0.001173,0.000136,15,0.1418,0.2229,0.0126,0.0043
20,119-36-8,Methylsalicylat Halal,13.9167,0.0853,0.005185,0.000442,11,0.0071,-0.02,-0.0897,0.2663
